fund_name,fund_extended_name,category,fund_family,net_assets,ytd_return,fund_yield,morningstar_rating,inception_date,investment,size,currency,net_annual_expense_ratio_fund,net_annual_expense_ratio_category,portfolio_cash,portfolio_stocks,portfolio_preferred,price_earnings,price_book,price_sales,price_cashflow,median_market_cap,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology,fund_return_ytd,category_return_ytd,fund_return_1month,category_return_1month,fund_return_3months,category_return_3months,fund_return_1year,category_return_1year,fund_return_3years,category_return_3years,fund_return_5years,category_return_5years,fund_return_10years,category_return_10years,fund_return_2018,category_return_2018,fund_return_2017,category_return_2017,fund_return_2016,category_return_2016,fund_return_2015,category_return_2015,fund_return_2014,category_return_2014,fund_return_2013,category_return_2013,fund_return_2012,category_return_2012,fund_return_2011,category_return_2011,fund_return_2010,category_return_2010,morningstar_risk_rating,years_up,years_down,fund_mean_annual_return_3years,category_mean_annual_return_3years,fund_mean_annual_return_5years,category_mean_annual_return_5years,fund_mean_annual_return_10years,category_mean_annual_return_10years,fund_r_squared_3years,category_r_squared_3years,fund_r_squared_5years,category_r_squared_5years,fund_r_squared_10years,category_r_squared_10years,fund_standard_deviation_3years,category_standard_deviation_3years,fund_standard_deviation_5years,category_standard_deviation_5years,fund_standard_deviation_10years,category_standard_deviation_10years,fund_sharpe_ratio_3years,category_sharpe_ratio_3years,fund_sharpe_ratio_5years,category_sharpe_ratio_5years,fund_sharpe_ratio_10years,category_sharpe_ratio_10years,fund_treynor_ratio_3years,category_treynor_ratio_3years,fund_treynor_ratio_5years,category_treynor_ratio_5years,fund_treynor_ratio_10years,category_treynor_ratio_10years
AACFX,"Invesco Greater China Fund Class A",China Region,"Invesco",85650000,14.9,0.77,3,2006-03-30,Blend,Large,USD,1.79,1.63,0.01,99.99,0,12.29,1.61,0.85,10.2,12342.74,7.56,29.1,0,0,7.95,8.5,3.3,4.43,1.22,4.32,33.61,14.9,20.95,2.38,3.82,14.9,20.95,-6.21,-6.4,13.2,11.65,7.87,7.57,10.39,10.53,-16.56,-20.68,42.41,42.4,4.76,-2.06,2.01,-4.2,-6.69,1.54,11.23,10.71,20.61,18.42,-23.48,-24.95,9.34,13.39,3,8,4,1.12,0.01,0.75,0.01,1,0.01,65.28,0.49,56.95,0.53,62.13,0.63,13.76,0.17,17,0.21,20.17,0.21,0.88,0.01,0.48,0,0.57,0.01,11.32,0.09,6.62,0.06,9.86,0.1
AACIX,"American Beacon Mid-Cap Value Fund Institutional Class",Mid-Cap Value,"American Beacon",571500000,13.82,1.4,3,2005-11-29,Value,Medium,USD,0.86,1.09,4.57,95.43,0,12.69,1.53,0.92,5.03,8925.66,4.37,15.77,22.65,7.9,3.36,6.47,5.67,0.65,8.09,20.27,4.8,13.82,12.94,-1.34,-0.67,13.82,12.94,-4.76,0.66,7.73,8.55,5.13,5.87,15.44,14.46,-19.74,-12.86,17.73,13.22,17.65,18.06,-3.89,-5.41,8.44,9.31,39.99,35.14,16,16.6,0.33,-3.96,21.69,21.92,4,9,4,0.71,0.01,0.5,0.01,1.31,0.01,81.95,0.78,83.29,0.79,88.8,0.85,14.53,0.13,14.4,0.13,16.23,0.16,0.5,0.01,0.36,0,0.94,0.01,5.25,0.07,3.68,0.05,12.43,0.12
AACYX,"Alger Mid Cap Focus C",Mid-Cap Growth,"Alger",9480000,14.8,0,1,2008-09-23,Growth,Medium,USD,1.95,1.19,10.48,89.52,0,26.07,3.46,2.06,16.87,11479.22,5.56,12.5,8.17,2.16,6.28,18.04,0,3.17,1.36,15.62,27.14,14.8,18.19,1.07,0.92,2.49,18.19,12.3,8.04,3.26,14.18,8.82,8.99,4.16,15.7,NaN,NaN,NaN,23.91,-5.71,6.03,-3.71,-0.95,6.11,7,35.37,34.93,17.77,14.07,-4.09,-3.96,11.14,24.61,3,5,3,0.34,0.01,0.77,0.01,0.47,0.01,80.99,0.81,76.03,0.78,83.42,0.82,12.94,0.14,12.14,0.14,17.56,0.16,0.28,0.01,0.74,0.01,0.3,0.01,2.51,0.11,7.74,0.07,3.55,0.14
AADEX,"American Beacon Large Cap Value Fund Institutional Class",Large Value,"American Beacon",5800000000,13.52,1.94,3,1987-07-16,Value,Large,USD,0.62,1,5.23,94.77,0,12.54,1.76,1.23,3.69,62112.87,3.67,10.58,24.33,0.09,7.33,12.62,1.98,3.94,13.27,12.32,9.87,13.52,11.29,-0.04,0.46,13.52,11.29,2.77,4.48,10.97,10.01,6.46,7.2,14.08,13.68,-11.99,-8.53,17.07,15.94,15.98,14.81,-6.05,-4.05,10.56,10.21,34.93,31.21,19.07,14.57,-2.34,-0.75,14.56,13.66,5,23,8,0.94,0.01,0.59,0.01,1.19,0.01,84.48,0.84,89.1,0.86,93.8,0.9,12.88,0.11,13.06,0.11,14.31,0.13,0.77,0.01,0.48,0.01,0.96,0.01,8.76,0.09,5.13,0.07,12.48,0.14
AAGOX,"Alger Large Cap Growth Portfolio Class I-2",Large Growth,"Alger",282950000,14.66,0,2,1989-01-05,Growth,Large,USD,0.88,1.06,2.59,97.12,0.29,31.14,5.61,3.24,20.17,56216.18,0.13,19.88,8.11,5.46,1.54,26.72,0,1.03,0,7.55,29.59,14.66,15.67,1.39,2.12,14.66,15.67,12.41,10.71,15.78,15.35,10.75,11.26,15.4,15.94,2.21,-2.09,28.46,27.67,-0.83,3.23,1.72,3.6,10.99,10,35.08,33.92,9.87,15.34,-0.35,-2.46,13.39,15.53,5,23,6,1.32,0.01,0.95,0.01,1.3,0.01,69.7,0.84,75.23,0.86,83.75,0.88,15.09,0.13,14.87,0.13,15.2,0.14,0.96,0.01,0.71,0.01,0.99,0.01,12.35,0.13,8.64,0.1,13.65,0.15
AAGPX,"American Beacon Large Cap Value Fund Investor Class",Large Value,"American Beacon",5800000000,13.39,1.72,3,1994-07-31,Value,Large,USD,0.95,1,5.23,94.77,0,12.54,1.76,1.23,3.69,62112.87,3.67,10.58,24.33,0.09,7.33,12.62,1.98,3.94,13.27,12.32,9.87,13.39,11.29,-0.08,0.46,13.39,11.29,2.4,4.48,10.6,10.01,6.1,7.2,13.68,13.68,-12.26,-8.53,16.7,15.94,15.6,14.81,-6.38,-4.05,10.19,10.21,34.46,31.21,18.68,14.57,-2.72,-0.75,14.11,13.66,4,18,6,0.91,0.01,0.56,0.01,1.16,0.01,84.41,0.84,89.07,0.86,93.81,0.9,12.86,0.11,13.04,0.11,14.31,0.13,0.75,0.01,0.46,0.01,0.94,0.01,8.45,0.09,4.81,0.07,12.11,0.14
AAIYX,"Alger Mid Cap Focus I",Mid-Cap Growth,"Alger",9480000,15.51,0,1,2008-09-23,Growth,Medium,USD,1.2,1.19,10.48,89.52,0,26.07,3.46,2.06,16.87,11479.22,5.56,12.5,8.17,2.16,6.28,18.04,0,3.17,1.36,15.62,27.14,15.51,18.19,1.15,0.92,2.65,18.19,13.13,8.04,3.91,14.18,9.53,8.99,4.87,15.7,NaN,NaN,NaN,23.91,-5.07,6.03,-3.24,-0.95,6.79,7,36.34,34.93,18.38,14.07,-3.32,-3.96,11.94,24.61,4,5,3,0.39,0.01,0.82,0.01,0.53,0.01,80.95,0.81,76.11,0.78,83.45,0.82,12.98,0.14,12.16,0.14,17.58,0.16,0.33,0.01,0.79,0.01,0.34,0.01,3.07,0.11,8.36,0.07,4.22,0.14
AALGX,"Thrivent Large Cap Stock Fund Class A",World Large Stock,"Thrivent Funds",1790000000,11.46,1.1,3,1987-07-15,Blend,Large,USD,1.01,1.11,6.24,93.76,0,14.65,2.13,1.39,7.58,50536.44,5.61,15.68,16.63,1.78,7.2,13.69,1.48,2.98,3.57,11.18,20.2,11.46,12.27,1,1.11,11.46,12.27,1.82,1.85,9.61,9.96,6.28,5.89,11.7,11.79,-8.75,-9.64,20.83,23.61,4.87,5.54,2.47,-1.69,4.94,2.79,29.24,25.19,14.43,15.84,-5.06,-7.93,10.13,13.74,3,24,7,0.81,0.01,0.56,0.01,1,0.01,77.72,0.73,82.38,0.78,80.54,0.84,10.32,0.11,11.33,0.11,13.62,0.14,0.82,0.01,0.52,0,0.85,0.01,9.66,0.1,6.39,0.06,14.5,0.14
AALRX,"American Beacon Large Cap Value Fund Class R6",Large Value,"American Beacon",5800000000,13.53,1.98,3,2017-02-27,Value,Large,USD,0.58,1,5.23,94.77,0,12.54,1.76,1.23,3.69,62112.87,3.67,10.58,24.33,0.09,7.33,12.62,1.98,3.94,13.27,12.32,9.87,13.53,11.29,-0.04,0.46,13.53,11.29,2.81,4.48,10.98,10.01,6.46,7.2,14.08,13.68,-11.96,-8.53,NaN,15.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,1,0.94,0.01,0.59,0.01,1.19,0.01,84.38,0.84,89.04,0.86,93.78,0.9,12.89,0.11,13.06,0.11,14.31,0.13,0.77,0.01,0.48,0.01,0.96,0.01,8.77,0.09,5.14,0.07,12.48,0.14
AAMOX,"Alger SMid Cap Focus Portfolio I-2",Mid-Cap Growth,"Alger",1370000,30.53,0,4,2008-01-01,Growth,Medium,USD,0.99,1.19,1.89,96.35,1.76,27.93,4.6,1.87,14.97,3444.94,0,11.72,4.96,6.44,8.67,18.18,0,0.11,1,13.18,35.73,30.53,18.19,2.06,0.92,30.53,18.19,22.59,8.04,23.59,14.18,12.92,8.99,17.34,15.7,-3.19,-6.65,36.91,23.91,3.82,6.03,-0.41,-0.95,4.9,7,32.22,34.93,14.54,14.07,-3.87,-3.96,23.67,24.61,5,7,3,1.93,0.01,1.15,0.01,1.47,0.01,65.37,0.81,63.57,0.78,73.96,0.82,19.22,0.14,17.9,0.14,17.73,0.16,1.14,0.01,0.73,0.01,0.97,0.01,15.43,0.11,9.51,0.07,14.08,0.14
